"datetime","Behaviour_ind","Behaviour","AccX","AccY","AccZ","Depth","DBA","Latitude","Longitude"
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.8764919324,0,6.0064,-53.7992
"2019-04-19 03:20:00",3,"Swiming",0,0,0,3.2021728001,0,6.0048,-53.7702
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.1565653552,0,6.0141,-53.7844
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.6337616327,0,6.035,-53.769
"2019-04-19 03:20:00",3,"Swiming",0,0,0,3.9583710415,0,6.0493,-53.7619
"2019-04-19 03:20:00",3,"Swiming",0,0,0,3.2395159231,0,6.0502,-53.7641
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.4459745587,0,6.062,-53.7659
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.3712883126,0,6.0742,-53.7493
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.3992956549,0,6.0385,-53.7788
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.9978570823,0,6.1287,-54.0796
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.9231708362,0,6.1645,-54.1491
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.0632075476,0,6.1612,-54.1479
"2019-04-19 03:20:00",2,"Breathing",0,0,0,1.8764919324,0,6.1554,-54.1722
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.0258644245,0,6.2031,-54.1774
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.8100700082,0,6.2014,-54.178
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.7353837622,0,6.2086,-54.1672
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.5580039278,0,6.2121,-54.1661
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.7633911045,0,6.2279,-54.1652
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.7353837622,0,6.221,-54.1735
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.4646461202,0,6.0327,-54.2477
"2019-04-19 03:20:00",2,"Breathing",0,0,0,1.736455221,0,6.0424,-54.2835
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.4926534625,0,6.0213,-54.2886
"2019-04-19 03:20:00",1,"Gliding",0,0,0,0.7468624606,0,6.0223,-54.2856
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.3059378473,0,6.0215,-54.2889
"2019-04-19 03:20:00",1,"Gliding",0,0,0,1.9418423977,0,5.9995,-54.3055
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.2219158205,0,6.021,-54.2736
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.0632075476,0,6.0153,-54.28
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.1845726974,0,6.0243,-54.2637
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.1565653552,0,6.0258,-54.2611
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.0912148898,0,6.0205,-54.2486
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.1845726974,0,5.8764,-54.0498
"2019-04-19 03:20:00",5,"Feeding",0,0,0,0.7935413644,0,5.8829,-54.03
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.7551267825,0,5.8803,-54.0229
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.9138350554,0,5.8788,-54.0167
"2019-04-19 03:20:00",5,"Feeding",0,0,0,3.3515452922,0,5.89,-53.9859
"2019-04-19 03:20:00",5,"Feeding",0,0,0,3.1648296771,0,5.9033,-53.9688
"2019-04-19 03:20:00",3,"Swiming",0,0,0,0.9055707335,0,5.9071,-53.9714
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.1565653552,0,5.9007,-53.8926
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.661768975,0,5.9221,-53.9135
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.7551267825,0,5.9226,-53.9136
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.9978570823,0,5.8167,-53.9409
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.5310680443,0,5.7724,-53.8855
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.3163450869,0,5.7778,-53.8836
"2019-04-19 03:20:00",3,"Swiming",0,0,0,1.8858277132,0,5.7742,-53.8797
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.3339451896,0,5.7737,-53.8798
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.548668147,0,5.7801,-53.8828
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.6700332969,0,5.7969,-53.8848
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.6700332969,0,5.7971,-53.8884
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.8474131313,0,5.8062,-53.8982
"2019-04-19 03:20:00",3,"Swiming",0,0,0,2.9967856234,0,5.805,-53.8912
"2019-04-19 03:20:00",3,"Swiming",0,0,0,3.1088149925,0,5.8022,-53.9146
"2019-04-19 03:20:00",2,"Breathing",0,0,0,3.2861948269,0,5.8019,-53.9164
"2019-04-19 03:20:00",2,"Breathing",0,0,0,3.3328737307,0,5.7984,-53.9166
